experiment_info;actualrun;nruns;grassname_habmat;PLAND;CONFIG;HABQUAL;species_profile;include_quality;start_popsize;timesteps;indiv;homerangesize;avgsteplength;dispfactor;isdispersing;isfemale;islive;totaldistance;netdisplacement;actual_movementcost;timestep_waslive;number_of_meetings;LOCI_start;LOCI_end
2016-05-16 10:09:57.554103;1;1;simulation_000019_p036_h066_HABMAT;036;066;20.0;Habitat dependent;HabitatQuality_YES;567;20;312;15.0;200.0;5.0;0;1;1;90.1542295905;6.63499018857;34.5509330793;20;0;[[1, 0, 0, 1, 1], [1, 0, 1, 0, 1], [1, 1, 1, 1, 0], [0, 0, 0], [0, 1], [0, 0, 1, 1, 1, 1]];[[1, 0, 0, 1, 1], [1, 0, 1, 0, 1], [1, 1, 1, 1, 0], [0, 0, 0], [0, 1], [0, 0, 1, 1, 1, 1]]
2016-05-16 10:09:57.554103;1;1;simulation_000019_p036_h066_HABMAT;036;066;20.0;Habitat dependent;HabitatQuality_YES;567;20;313;15.0;200.0;5.0;0;0;1;108.599086378;22.5230980721;25.3841623049;20;0;[[1, 1, 1, 1, 0], [0, 1, 1, 1, 1], [1, 0, 0, 1, 0], [1, 0, 0], [0, 1], [0, 0, 0, 1, 0, 1]];[[1, 1, 1, 1, 0], [0, 1, 1, 1, 1], [1, 0, 0, 1, 0], [1, 0, 0], [0, 1], [0, 0, 0, 1, 0, 1]]
2016-05-16 10:09:57.554103;1;1;simulation_000019_p036_h066_HABMAT;036;066;20.0;Habitat dependent;HabitatQuality_YES;567;20;314;15.0;200.0;5.0;0;1;1;108.954703196;30.2341181622;21.901791499;20;1;[[0, 0, 0, 1, 0], [0, 1, 1, 0, 0], [1, 1, 1, 1, 0], [0, 0, 1], [0, 1], [1, 0, 1, 1, 0, 0]];[[0, 0, 0, 1, 0], [0, 1, 1, 0, 0], [1, 1, 0, 1, 0], [0, 0, 1], [0, 1], [1, 0, 1, 1, 0, 0]]
2016-05-16 10:09:57.554103;1;1;simulation_000019_p036_h066_HABMAT;036;066;20.0;Habitat dependent;HabitatQuality_YES;567;20;315;15.0;200.0;5.0;0;0;1;105.510584949;18.291549012;38.0576341112;20;0;[[0, 0, 0, 0, 1], [1, 1, 1, 1, 0], [0, 0, 1, 1, 1], [1, 1, 1], [0, 1], [1, 0, 1, 1, 0, 0]];[[0, 0, 0, 0, 1], [1, 1, 1, 1, 0], [0, 0, 1, 1, 1], [1, 1, 1], [0, 1], [1, 0, 1, 1, 0, 0]]
2016-05-16 10:09:57.554103;1;1;simulation_000019_p036_h066_HABMAT;036;066;20.0;Habitat dependent;HabitatQuality_YES;567;20;316;15.0;200.0;5.0;0;0;1;96.1233801173;19.2132637217;47.503004133;20;0;[[0, 0, 0, 1, 1], [1, 0, 0, 0, 0], [1, 1, 1, 1, 0], [1, 1, 0], [0, 0], [1, 1, 0, 1, 1, 1]];[[0, 0, 0, 1, 1], [1, 0, 0, 0, 0], [1, 1, 1, 1, 0], [1, 1, 0], [0, 0], [1, 1, 0, 1, 1, 1]]
2016-05-16 10:09:57.554103;1;1;simulation_000019_p036_h066_HABMAT;036;066;20.0;Habitat dependent;HabitatQuality_YES;567;20;317;15.0;200.0;5.0;0;0;1;97.4883729756;2.38381979358;42.5672157673;20;0;[[0, 1, 0, 1, 1], [0, 1, 0, 0, 0], [1, 1, 0, 0, 0], [1, 0, 1], [1, 1], [1, 0, 1, 1, 1, 1]];[[0, 1, 0, 1, 1], [0, 1, 0, 0, 0], [1, 1, 0, 0, 0], [1, 0, 1], [1, 1], [1, 0, 1, 1, 1, 1]]
2016-05-16 10:09:57.554103;1;1;simulation_000019_p036_h066_HABMAT;036;066;20.0;Habitat dependent;HabitatQuality_YES;567;20;318;15.0;200.0;5.0;0;1;1;100.720307499;19.8493968413;32.2932495109;20;0;[[0, 1, 1, 1, 0], [0, 0, 0, 1, 1], [0, 1, 1, 0, 0], [0, 1, 1], [1, 1], [0, 0, 1, 0, 0, 0]];[[0, 1, 1, 1, 0], [0, 0, 0, 1, 1], [0, 1, 1, 0, 0], [0, 1, 1], [1, 1], [0, 0, 1, 0, 0, 0]]
2016-05-16 10:09:57.554103;1;1;simulation_000019_p036_h066_HABMAT;036;066;20.0;Habitat dependent;HabitatQuality_YES;567;20;319;15.0;200.0;5.0;0;1;1;100.183896216;2.21570565437;78.6047799122;20;0;[[0, 1, 0, 1, 0], [0, 0, 1, 1, 0], [0, 0, 0, 0, 1], [1, 0, 0], [0, 0], [0, 1, 0, 0, 0, 1]];[[0, 1, 0, 1, 0], [0, 0, 1, 1, 0], [0, 0, 0, 0, 1], [1, 0, 0], [0, 0], [0, 1, 0, 0, 0, 1]]
2016-05-16 10:09:57.554103;1;1;simulation_000019_p036_h066_HABMAT;036;066;20.0;Habitat dependent;HabitatQuality_YES;567;20;320;15.0;200.0;5.0;1;0;1;374.119820508;122.980838457;2681.55821898;20;0;[[1, 1, 1, 1, 1], [0, 1, 1, 1, 0], [1, 0, 0, 1, 0], [0, 0, 0], [0, 0], [1, 1, 1, 0, 1, 0]];[[1, 1, 1, 1, 1], [0, 1, 1, 1, 0], [1, 0, 0, 1, 0], [0, 0, 0], [0, 0], [1, 1, 1, 0, 1, 0]]
2016-05-16 10:09:57.554103;1;1;simulation_000019_p036_h066_HABMAT;036;066;20.0;Habitat dependent;HabitatQuality_YES;567;20;321;15.0;200.0;5.0;0;0;1;103.640891693;4.57416972574;30.7192124984;20;0;[[1, 1, 1, 1, 0], [0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 1], [1, 1], [1, 0, 1, 0, 1, 1]];[[1, 1, 1, 1, 0], [0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 1], [1, 1], [1, 0, 1, 0, 1, 1]]
2016-05-16 10:09:57.554103;1;1;simulation_000019_p036_h066_HABMAT;036;066;20.0;Habitat dependent;HabitatQuality_YES;567;20;322;15.0;200.0;5.0;0;0;1;101.242317669;6.01534264769;33.9704124095;20;0;[[0, 0, 1, 0, 1], [0, 0, 0, 0, 1], [0, 0, 1, 0, 0], [1, 1, 1], [0, 1], [1, 0, 0, 0, 0, 0]];[[0, 0, 1, 0, 1], [0, 0, 0, 0, 1], [0, 0, 1, 0, 0], [1, 1, 1], [0, 1], [1, 0, 0, 0, 0, 0]]
2016-05-16 10:09:57.554103;1;1;simulation_000019_p036_h066_HABMAT;036;066;20.0;Habitat dependent;HabitatQuality_YES;567;20;323;15.0;200.0;5.0;0;0;1;113.374457252;17.1387530569;40.8838949591;20;0;[[1, 1, 0, 0, 0], [1, 1, 0, 1, 0], [1, 0, 0, 0, 0], [0, 0, 0], [0, 0], [1, 1, 1, 1, 1, 0]];[[1, 1, 0, 0, 0], [1, 1, 0, 1, 0], [1, 0, 0, 0, 0], [0, 0, 0], [0, 0], [1, 1, 1, 1, 1, 0]]
2016-05-16 10:09:57.554103;1;1;simulation_000019_p036_h066_HABMAT;036;066;20.0;Habitat dependent;HabitatQuality_YES;567;20;324;15.0;200.0;5.0;0;1;1;97.4885462124;44.1274709368;33.718133572;20;0;[[0, 0, 0, 1, 0], [1, 1, 0, 0, 0], [0, 0, 1, 1, 0], [1, 1, 0], [0, 0], [0, 0, 0, 1, 1, 0]];[[0, 0, 0, 1, 0], [1, 1, 0, 0, 0], [0, 0, 1, 1, 0], [1, 1, 0], [0, 0], [0, 0, 0, 1, 1, 0]]
2016-05-16 10:09:57.554103;1;1;simulation_000019_p036_h066_HABMAT;036;066;20.0;Habitat dependent;HabitatQuality_YES;567;20;325;15.0;200.0;5.0;0;0;1;123.951131743;3.73738557761;28.0243875827;20;0;[[1, 0, 0, 1, 0], [0, 1, 1, 1, 0], [1, 1, 0, 0, 1], [0, 0, 1], [0, 1], [0, 1, 1, 0, 0, 1]];[[1, 0, 0, 1, 0], [0, 1, 1, 1, 0], [1, 1, 0, 0, 1], [0, 0, 1], [0, 1], [0, 1, 1, 0, 0, 1]]
2016-05-16 10:09:57.554103;1;1;simulation_000019_p036_h066_HABMAT;036;066;20.0;Habitat dependent;HabitatQuality_YES;567;20;326;15.0;200.0;5.0;0;0;1;107.288589241;21.1983720604;33.2962884163;20;0;[[0, 0, 0, 1, 1], [0, 0, 1, 1, 0], [0, 0, 1, 0, 1], [0, 0, 0], [0, 0], [0, 0, 1, 1, 1, 0]];[[0, 0, 0, 1, 1], [0, 0, 1, 1, 0], [0, 0, 1, 0, 1], [0, 0, 0], [0, 0], [0, 0, 1, 1, 1, 0]]
